,,,,,,,,,,,,,,,,
,,,,,,, SE LLENA AUTOMATICAMENTE,,,,,,,,,
CODIGO MARCA,CODIGO REFERENCIA ,CODIGO OEM ,MARCA AUTOMOVIL,MODELO,CATEGORIA ,SUBCATEGORIA,DESCRIPCION ,AÑO ,MOTOR,MARCA PRODUCTO,ORIGEN,MEDIDA ,DIAMETRO,TIPO,VARIABLE,STOCK
34031,,12033-01W60,NISSAN,CARAVAN-PICKUP,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN J15  1 77.95mm,,J15,TP,JAPAN,1.00,77.95mm,,2*2*4,1
34053,,12033-01M01,NISSAN,SUNNY-VAN,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN E15  0.5 76mm,,E15,TP,JAPAN,0.50,76mm,,1.5*1.5*4,1
34053,,12033-01M01,NISSAN,SUNNY-VAN,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN E15  0.75 76mm,,E15,TP,JAPAN,0.75,76mm,,1.5*1.5*4,1
34053,,12033-01M01,NISSAN,SUNNY-VAN,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN E15  STD 76mm,,E15,TP,JAPAN,STD,76mm,,1.5*1.5*4,1
41001,,NP960-NP015-NP016,DAEWOO,LEMANS-SPAGON,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO G15SF  STD 76.48mm,,G15SF,TP,JAPAN,STD,76.48mm,,1.5*1.5*3,2
41001,,NP960-NP015-NP016,DAEWOO,LEMANS-SPAGON,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO G15SF  0.25 76.48mm,,G15SF,TP,JAPAN,0.25,76.48mm,,1.5*1.5*3,1
41002,,12140-78B00-000,DAEWOO,TICO,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO F8  0.5 68.5mm,,F8,TP,JAPAN,0.50,68.5mm,,1.2*1.5*2.8,1
41002,,12140-78B00-000,DAEWOO,TICO,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO F8  0.5 68.5mm,,F8,TP,JAPAN,0.50,68.5mm,,1.2*1.5*2.8,1
41002,,12140-78B00-000,DAEWOO,TICO,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO F8  0.75 68.5mm,,F8,TP,JAPAN,0.75,68.5mm,,1.2*1.5*2.8,2
41002,,12140-78B00-000,DAEWOO,TICO,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO F8  0.5 68.5mm,,F8,TP,JAPAN,0.50,68.5mm,,1.2*1.5*2.8,1
41002,,12140-78B00-000,DAEWOO,TICO,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO F8  0.25 68.5mm,,F8,TP,JAPAN,0.25,68.5mm,,1.2*1.5*2.8,1
41002,,12140-78B00-000,DAEWOO,TICO,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO F8  STD 68.5mm,,F8,TP,JAPAN,STD,68.5mm,,1.2*1.5*2.8,1
41002,,12140-78B00-000,DAEWOO,TICO,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO F8  STD 68.5mm,,F8,TP,JAPAN,STD,68.5mm,,1.2*1.5*2.8,2
35586,,12140-67820/cyl,SUZUKI,ALTO-FRONTIER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR SUZUKI SS80  STD 68.5mm,,SS80,TP,JAPAN,STD,68.5mm,,1.5*1.5*2.8,2
32575,,8-94247-867-0/cyl,ISUZU,TRUCK-ELF150,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR ISUZU 4JA1  STD 93mm,,4JA1,TP,JAPAN,STD,93mm,,2*2*4,1
41008,,96325192,DAEWOO,MATIZ-SPARK,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO 5MT  STD 68.5mm,,5MT,TP,JAPAN,STD,68.5mm,,1.2*1.2*2.5,1
35884,,13011-55010,TOYOTA,COROLLA-TERCEL,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 1N-T  STD 74mm,,1N-T,TP,JAPAN,STD,74mm,,1.5*1.5*3,1
40046,,93740225,CHEVROLET,AVEO,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR CHEVROLET   0.25 79mm,,,RIK,JAPAN,0.25,79mm,,1.2*1.5*3,1
40046,,93740225,CHEVROLET,AVEO,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR CHEVROLET   STD 79mm,,,RIK,JAPAN,STD,79mm,,1.2*1.5*3,1
40765,,23040-22010,HYUNDAI,ACCENT,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR HYUNDAI   0.25 75.5mm,,,RIK,JAPAN,0.25,75.5mm,,1.5*1.5*3,1
20004,,MD158908,MITSUBISHI,LANCER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR MITSUBISHI 4G13  0.25 71mm,,4G13,RIK,JAPAN,0.25,71mm,,1.5*1.5*3,1
40082,,23040-26160,KIA, RIO,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR KIA   STD 76.5mm,,,RIK,JAPAN,STD,76.5mm,,1.2*1.2*2,1
20520,,MD074725,DAEWOO,RACER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO G15  STD 75.5mm,,G15,RIK,JAPAN,STD,75.5mm,,1.5*1.5*4,1
20215,,,MITSUBISHI,GALANT,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR MITSUBISHI 4D55  STD 91.1mm,,4D55,RIK,JAPAN,STD,91.1mm,,2.5*2*4,1
28740,,13011-54090,TOYOTA,CROWN-CHASER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 11B  0.25 92mm,,11B,RIK,JAPAN,0.25,92mm,,2*2*4,1
28541,,13011-35040,TOYOTA,CRESSIDA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 22R-2  0.25 92mm,,22R-2,RIK,JAPAN,0.25,92mm,,1.5*1.5*4,1
28820,,"13011-34030,20,21,22",TOYOTA,CORONA-MARK II,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 16R  0.5 88.5mm,,16R,RIK,JAPAN,0.50,88.5mm,,2*2.5*4,1
28120,,"13011-64020,10",TOYOTA,CORONA-CARINA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 1C  STD 83mm,,1C,RIK,JAPAN,STD,83mm,,2*2*4,1
28029,,13011-64190,TOYOTA,CAROLLA-MASTER ACE,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 2C  0.25 86mm,,2C,RIK,JAPAN,0.25,86mm,,2*2*3,1
28900,,"13011-28080,30,31,70,71",TOYOTA,CARINA-CAMRY,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 2T-U  1 85mm,,2T-U,RIK,JAPAN,1.00,85mm,,1.5*1.5*4,1
28740,,13011-54090,TOYOTA,CORONA MARK,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 2L-T  STD 92mm,,2L-T,RIK,JAPAN,STD,92mm,,2*2*4,1
28006,,13011-54120,TOYOTA,LUXE-HI.ACE,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 3L  0.25 96mm,,3L,RIK,JAPAN,0.25,96mm,,2*2*4,2
28560,,13011-16010,TOYOTA,COROLLA-SPRINTER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 4A  0.25 81mm,,4A,RIK,JAPAN,0.25,81mm,,1.5*1.5*2.8,1
23293,,,NISSAN,AD BAN-R-VY09,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN GA15 DS  0.25 73.6mm,,GA15 DS,RIK,JAPAN,0.25,73.6mm,,1.5*1.5*2.8,1
23999,,12033-53Y00,NISSAN,AD BAN-R-VY10,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN GA15  STD 73.6mm,,GA15,RIK,JAPAN,STD,73.6mm,,1.5*1.5*2.8,1
23999,,12033-53Y00,NISSAN,AD BAN-R-VY10,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN GA15  STD 73.6mm,,GA15,RIK,JAPAN,STD,73.6mm,,1.5*1.5*2.8,1
23999,,12033-53Y00,NISSAN,AD BAN-R-VY10,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN GA15  STD 73.6mm,,GA15,RIK,JAPAN,STD,73.6mm,,1.5*1.5*2.8,1
23293,,12033-87A00,NISSAN,AD BAN-R-VY10,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN GA15  0.25 73.6mm,,GA15,RIK,JAPAN,0.25,73.6mm,,1.5*1.5*2.8,1
23892,,12033-43G10,NISSAN,DATSUN-CARABAN,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN AD2  0.25 96mm,,AD2,RIK,JAPAN,0.25,96mm,,2.5*2*4,1
23142,,12033-01F00,NISSAN,STANZA-AUSTER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN CA18  STD 83mm,,CA18,RIK,JAPAN,STD,83mm,,1.5*1.5*4,1
23142,,12033-01F00,NISSAN,STANZA-AUSTER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN CA18  0.25 83mm,,CA18,RIK,JAPAN,0.25,83mm,,1.5*1.5*4,1
23422,,12033-13G10,NISSAN,DATSUN-CARABAN,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN Z24  0.5 89mm,,Z24,RIK,JAPAN,0.50,89mm,,2*1.5*4,1
23701,,12033-N7900,NISSAN,DATSUN,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN J-18  0.75 80.5mm,,J-18,RIK,JAPAN,0.75,80.5mm,,1.5*2*4,1
23331,,12033-16A00,NISSAN,SUNNY-N12-N13,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN XM-Z  0.75 80mm,,XM-Z,RIK,JAPAN,0.75,80mm,,1.75*2*3,1
23140,,12033-02M02,NISSAN,PULSAR-SUNNY,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN E13  STD 76mm,,E13,RIK,JAPAN,STD,76mm,,1.5*1.5*4,2
30850,,R201-23-1320A,MAZDA,BONGO-SR29V,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR MAZDA R2  0.25 86mm,,R2,RIK,JAPAN,0.25,86mm,,2*2*4,2
40021,,12140-78B00,DAEWOO,TICO,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR DAEWOO TICO  0.25 68.5mm,,TICO,RIK,JAPAN,0.25,68.5mm,,1.2*1.5*2.8,1
